groups,yf_ticker,name,min_wgt,neut_wgt,max_wgt
Information Technology,ZBRA,Zebra Technologies Corporation Class A,0,0.072551,0.145102
Real Estate,O,Realty Income Corporation,0,0.07201,0.14402
Materials,ALB,Albemarle Corporation,0,0.071855,0.14371
Industrials,RSG,Republic Services Inc.,0,0.071811,0.143622
Consumer Discretionary,LEN,Lennar Corporation Class A,0,0.071751,0.143502
Health Care,LH,Laboratory Corporation of America Holdings,0,0.071054,0.142108
Consumer Staples,KR,Kroger Co.,0,0.070654,0.141308
Industrials,KSU,Kansas City Southern,0,0.070627,0.141254
Consumer Staples,HSY,Hershey Company,0,0.070393,0.140786
Information Technology,SWKS,Skyworks Solutions Inc.,0,0.070293,0.140586
Industrials,DAL,Delta Air Lines Inc.,0,0.070025,0.14005
Consumer Discretionary,ETSY,Etsy Inc.,0,0.069556,0.139112
Utilities,ED,Consolidated Edison Inc.,0,0.069326,0.138652
Information Technology,IT,Gartner Inc.,0,0.069227,0.138454
Industrials,FTV,Fortive Corp.,0,0.068842,0.137684
